PDF_Path	Reason	Raw_Tables	Identified_Tables
Output\NLDC_PSP_URLS\2025-26\APRIL\reports\20.04.25_NLDC_PSP.pdf	COUNT_CHANGE	18	17
Output\NLDC_PSP_URLS\2025-26\APRIL\reports\19.04.25_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2025-26\APRIL\reports\12.04.25_NLDC_PSP.pdf	COUNT_CHANGE	18	17
Output\NLDC_PSP_URLS\2025-26\APRIL\reports\11.04.25_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\SEPTEMBER\reports\30.09.24_NLDC_PSP.pdf	COUNT_CHANGE	16	15
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\22.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\19.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\08.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\07.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\06.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\03.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\02.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\30.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\24.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\23.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\16.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\15.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\12.11.24_NLDC_PSP.pdf	MISSING_TABLES	18	16
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\10.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\08.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\07.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\06.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\04.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\03.11.24_NLDC_PSP.pdf	COUNT_CHANGE	16	15
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\01.11.24_NLDC_PSP.pdf	MISSING_TABLES	16	14
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\01.11.24_NLDC_PSP.pdf	COUNT_CHANGE	16	14
Output\NLDC_PSP_URLS\2024-25\MAY\reports\31.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\31.05.24_NLDC_PSP.pdf	COUNT_CHANGE	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\30.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\29.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\28.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\26.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\25.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\24.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\23.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\22.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\21.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\20.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\19.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\18.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\17.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\16.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
