PDF_Path	Reason	Raw_Tables	Identified_Tables	date	period	expected_raw	anomaly_type
Output\NLDC_PSP_URLS\2025-26\APRIL\reports\20.04.25_NLDC_PSP.pdf	COUNT_CHANGE	18	17	2025-04-20	After_Blockwise	17	Extra_Tables
Output\NLDC_PSP_URLS\2025-26\APRIL\reports\19.04.25_NLDC_PSP.pdf	COUNT_CHANGE	17	16	2025-04-19	After_Blockwise	17	Missing_Tables
Output\NLDC_PSP_URLS\2025-26\APRIL\reports\12.04.25_NLDC_PSP.pdf	COUNT_CHANGE	18	17	2025-04-12	After_Blockwise	17	Extra_Tables
Output\NLDC_PSP_URLS\2025-26\APRIL\reports\11.04.25_NLDC_PSP.pdf	COUNT_CHANGE	17	16	2025-04-11	After_Blockwise	17	Missing_Tables
Output\NLDC_PSP_URLS\2024-25\SEPTEMBER\reports\30.09.24_NLDC_PSP.pdf	COUNT_CHANGE	16	15	2024-09-30	After_CrossBorder_Before_Blockwise	16	Missing_Tables
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\22.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15	2024-10-22	After_CrossBorder_Before_Blockwise	16	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\19.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15	2024-10-19	After_CrossBorder_Before_Blockwise	16	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\08.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15	2024-10-08	After_CrossBorder_Before_Blockwise	16	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\07.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15	2024-10-07	After_CrossBorder_Before_Blockwise	16	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\06.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15	2024-10-06	After_CrossBorder_Before_Blockwise	16	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\03.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15	2024-10-03	After_CrossBorder_Before_Blockwise	16	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\OCTOBER\reports\02.10.24_NLDC_PSP.pdf	MISSING_TABLES	17	15	2024-10-02	After_CrossBorder_Before_Blockwise	16	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\30.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16	2024-11-30	After_Blockwise	17	Missing_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\24.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17	2024-11-24	After_Blockwise	17	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\23.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16	2024-11-23	After_Blockwise	17	Missing_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\16.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17	2024-11-16	After_Blockwise	17	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\15.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16	2024-11-15	After_Blockwise	17	Missing_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\12.11.24_NLDC_PSP.pdf	MISSING_TABLES	18	16	2024-11-12	After_Blockwise	17	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\10.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17	2024-11-10	After_Blockwise	17	Extra_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\08.11.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16	2024-11-08	After_Blockwise	17	Missing_Tables
Output\NLDC_PSP_URLS\2024-25\NOVEMBER\reports\07.11.24_NLDC_PSP.pdf	COUNT_CHANGE	18	17	2024-11-07	After_Blockwise	17	Extra_Tables
