Date,Table Name,Region,Peak Demand Met (MW),Energy Met (MU),Energy Shortage (MU),Max Demand SCADA (MW),Peak Shortage (MW),Time of Max Demand Met,Schedule Drawal (MU),Actual Drawal (MU),Over/Under Drawal (MU),Frequency (Hz),FVI,Duration Frequency Below 49.7 (s),Duration Frequency 49.7-49.8 (s),Duration Frequency 49.8-49.9 (s),Duration Frequency Below 49.9 (s),Duration Frequency 49.9-50.05 (s),Duration Frequency Above 50.05 (s),States,Maximum Demand (MW),Shortage (MW),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW),Country,Exchange (MU),Import (+ve),Export (-ve),Schedule (MU),Actual (MU),Import (MU),Export (MU),Sector,Central Sector,State Sector,Total Outage (MW),Share (%),Source,Generation (MW),RE Share,Non-Fossil Share,Solar HR Max Demand (MW),Solar HR Shortage (MW),Non-Solar HR Max Demand (MW),Non-Solar HR Shortage (MW),From Region,To Region,OD/UD (MU),GNA,Bilateral,Total,TIME,FREQUENCY (Hz),DEMAND MET (MW),NUCLEAR (MW),WIND (MW),SOLAR (MW),HYDRO (MW),GAS (MW),THERMAL (MW),OTHERS* (MW),NET DEMAND MET (MW),TOTAL GENERATION (MW),"NET TRANSNATIONAL EXCHANGE (MW) (+ve) Import, (-ve) Export"
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Regional Summary,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2024,Frequency Profile,,,,,,,,,,,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
