Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU),Type,Country,PPA,Bilateral,DAM IEX,DAM PXIL,DAM HPX,RTM IEX,RTM PXIL,RTM HPX,Total
12/4/2023,Regional Summary,Share of RES in total generation (%),NR,16.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",NR,31.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Share of RES in total generation (%),WR,12.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",WR,17.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Share of RES in total generation (%),SR,17.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",SR,30.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Share of RES in total generation (%),ER,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",ER,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Share of RES in total generation (%),NER,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",NER,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Share of RES in total generation (%),TOTAL,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",TOTAL,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",NR,47344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Peak Shortage (MW),NR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Met (MU),NR,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro Gen (MU),NR,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Wind Gen (MU),NR,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Solar Gen (MU)*,NR,109.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Shortage (MU),NR,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",NR,51885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Time Of Maximum Demand Met,NR,10:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",WR,53370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Peak Shortage (MW),WR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Met (MU),WR,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro Gen (MU),WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Wind Gen (MU),WR,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Solar Gen (MU)*,WR,46.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Shortage (MU),WR,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",WR,58964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Time Of Maximum Demand Met,WR,09:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",SR,39507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Peak Shortage (MW),SR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Met (MU),SR,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro Gen (MU),SR,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Wind Gen (MU),SR,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Solar Gen (MU)*,SR,60.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Shortage (MU),SR,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",SR,44938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Time Of Maximum Demand Met,SR,09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",ER,19333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Peak Shortage (MW),ER,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Met (MU),ER,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro Gen (MU),ER,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Wind Gen (MU),ER,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Solar Gen (MU)*,ER,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Shortage (MU),ER,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",ER,20964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Time Of Maximum Demand Met,ER,17:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",NER,2544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Peak Shortage (MW),NER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Met (MU),NER,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro Gen (MU),NER,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Wind Gen (MU),NER,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Solar Gen (MU)*,NER,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Shortage (MU),NER,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",NER,2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Time Of Maximum Demand Met,NER,17:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at19:00 hrs; from RLDCs)",TOTAL,162098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Peak Shortage (MW),TOTAL,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Met (MU),TOTAL,3630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro Gen (MU),TOTAL,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Wind Gen (MU),TOTAL,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Solar Gen (MU)*,TOTAL,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Energy Shortage (MU),TOTAL,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",TOTAL,175512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Time Of Maximum Demand Met,TOTAL,09:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Schedule(MU),NR,215.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Actual(MU),NR,202.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,O/D/U/D(MU),NR,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Schedule(MU),WR,-239.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Actual(MU),WR,-210.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,O/D/U/D(MU),WR,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Schedule(MU),SR,159.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Actual(MU),SR,173.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,O/D/U/D(MU),SR,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Schedule(MU),ER,-136.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Actual(MU),ER,-143.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,O/D/U/D(MU),ER,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Schedule(MU),NER,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Actual(MU),NER,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,O/D/U/D(MU),NER,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Schedule(MU),TOTAL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Actual(MU),TOTAL,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,O/D/U/D(MU),TOTAL,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Central Sector,NR,6423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,State Sector,NR,13421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,NR,19844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Central Sector,WR,12894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,State Sector,WR,17131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,WR,30025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Central Sector,SR,7028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,State Sector,SR,8704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,SR,15732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Central Sector,ER,3981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,State Sector,ER,2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,ER,6770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Central Sector,NER,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,State Sector,NER,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,NER,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Central Sector,TOTAL,30681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,State Sector,TOTAL,42291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,TOTAL,72971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Central Sector,% Share,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,State Sector,% Share,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,% Share,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Coal,NR,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Lignite,NR,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro,NR,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Nuclear,NR,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Gas, Naptha & Diesel",NR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",NR,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,NR,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Coal,WR,1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Lignite,WR,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Nuclear,WR,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Gas, Naptha & Diesel",WR,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",WR,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
