Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU)
4/30/2023,Regional Summary,Share of RES in total generation (%),NR,12.46,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",NR,32.93,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Share of RES in total generation (%),WR,7.50,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",WR,10.84,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Share of RES in total generation (%),SR,17.99,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",SR,30.5,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Share of RES in total generation (%),ER,0.81,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",ER,6.82,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Share of RES in total generation (%),NER,1.93,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",NER,28.98,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Share of RES in total generation (%),TOTAL,9.91,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Share of Non-fossil fuel (Hydro,Nuclear and RES)in total generation(%)",TOTAL,20.18,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at20:00 hrs; from RLDCs)",NR,45268,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Peak Shortage (MW),NR,0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Energy Met (MU),NR,1047,,,,,,,,,,,,,,,,,,,,,,,
