Date,Type,Country,PPA,Bilateral,DAM IEX,DAM PXIL,DAM HPX,RTM IEX,RTM PXIL,RTM HPX,Total
4/19/2025,Export,Bhutan,0,0.4,4.85,0,0,0,0,0,5.25
4/19/2025,Export,Nepal,2.71,0,2.95,0,0,1.68,0,0,7.34
4/19/2025,Export,Bangladesh,23.05,0,0,0,0,0,0,0,23.05
4/19/2025,Export,Myanmar,0,0,0,0,0,0,0,0,0
4/19/2025,Export,Total Export,25.76,0.4,7.8,0,0,1.68,0,0,35.64
4/19/2025,Import,Bhutan,4.4,0,0,0,0,0,0,0,4.4
4/19/2025,Import,Nepal,0,0,0,0,0,0,0,0,0
4/19/2025,Import,Bangladesh,0,0,0,0,0,0,0,0,0
4/19/2025,Import,Myanmar,0,0,0,0,0,0,0,0,0
4/19/2025,Import,Total Import,4.4,0,0,0,0,0,0,0,4.4
4/19/2025,NET,Bhutan,4.4,-0.4,-4.85,0,0,0,0,0,-0.85
4/19/2025,NET,Nepal,-2.71,0,-2.95,0,0,-1.68,0,0,-7.34
4/19/2025,NET,Bangladesh,-23.05,0,0,0,0,0,0,0,-23.05
4/19/2025,NET,Myanmar,0,0,0,0,0,0,0,0,0
4/19/2025,NET,Total Net,-21.36,-0.4,-7.8,0,0,-1.68,0,0,-31.24
