Date,Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU)
4/19/2025,ER-NR,HVDC,ALIPURDUAR-AGRA,2,0,0,0,0,0
4/19/2025,ER-NR,HVDC,PUSAULI  B/B,,0,47,0,2.46,-2.46
4/19/2025,ER-NR,765 kV,GAYA-VARANASI,2,1057,707,0,0.45,-0.45
4/19/2025,ER-NR,765 kV,SASARAM-FATEHPUR,1,448,428,0,1.1,-1.1
4/19/2025,ER-NR,765 kV,GAYA-BALIA,1,271,640,0,5.19,-5.19
4/19/2025,ER-NR,400 kV,PUSAULI-VARANASI,1,0,157,0,1.9,-1.9
4/19/2025,ER-NR,400 kV,PUSAULI -ALLAHABAD,1,65,76,0,0.5,-0.5
4/19/2025,ER-NR,400 kV,MUZAFFARPUR-GORAKHPUR,2,886,458,1.6,0,1.6
4/19/2025,ER-NR,400 kV,PATNA-BALIA,2,525,702,0,4.88,-4.88
4/19/2025,ER-NR,400 kV,NAUBATPUR-BALIA,2,224,212,0,0.89,-0.89
4/19/2025,ER-NR,400 kV,BIHARSHARIFF-BALIA,2,739,127,5.1,0,5.1
4/19/2025,ER-NR,400 kV,MOTIHARI-GORAKHPUR,2,634,400,1.48,0,1.48
4/19/2025,ER-NR,400 kV,BIHARSARIFF-SAHUPURI,2,0,0,0,0.89,-0.89
4/19/2025,ER-NR,220 kV,SAHUPURI-KARAMNASA,1,11,49,0.17,0,0.17
4/19/2025,ER-NR,132 kV,NAGAR UNTARI-RIHAND,1,0,0,0.13,0,0.13
4/19/2025,ER-NR,132 kV,GARWAH-RIHAND,1,30,0,0.69,0,0.69
4/19/2025,ER-NR,132 kV,KARMANASA-SAHUPURI,1,0,0,0,0,0
4/19/2025,ER-NR,132 kV,KARMANASA-CHANDAULI,1,0,0,0,0,0
4/19/2025,ER-NR,,Total,,,,9.17,18.26,-9.09
4/19/2025,ER-WR,765 kV,JHARSUGUDA-DHARAMJAIGARH,4,1621,1179,0,0.43,-0.43
4/19/2025,ER-WR,765 kV,NEW RANCHI-DHARAMJAIGARH ,2,992,1178,1.2,0,1.2
4/19/2025,ER-WR,765 kV,JHARSUGUDA-DURG,2,0,1317,0,20.2,-20.2
4/19/2025,ER-WR,400 kV,JHARSUGUDA-RAIGARH,4,0,724,0,10.46,-10.46
4/19/2025,ER-WR,400 kV,RANCHI-SIPAT,2,174,476,0,3.13,-3.13
4/19/2025,ER-WR,220 kV,BUDHIPADAR-RAIGARH,1,23,142,0,1.96,-1.96
