Date,State,Region,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU)
4/19/2025,BHUTAN,ER,"400kV MANGDECHHU-ALIPURDUAR 1,2&3 i.e. ALIPURDUAR RECEIPT (from MANGDECHU HEP 4*180MW)",439.17,44.246,213.05,5.1131
4/19/2025,BHUTAN,ER,"400kV TALA-BINAGURI 1,2,4 (& 400kV MALBASE  -  BINAGURI) i.e. BINAGURI RECEIPT (from TALA HEP 6*170MW)",-185.784,37.551,-66.13,-1.587
4/19/2025,BHUTAN,ER,220kV CHUKHA-BIRPARA 1&2 (& 220kV MALBASE - BIRPARA) i.e. BIRPARA RECEIPT (from CHUKHA HEP 4*84MW),-226.164,-136.339,-163.33,-3.92
4/19/2025,BHUTAN,NER,132kV GELEPHU-SALAKATI,0,-23,-13.333,-0.32
4/19/2025,BHUTAN,NER,132kV MOTANGA-RANGIA,22,0,14.167,0.34
4/19/2025,BHUTAN,India,Total,,,,-0.3739
4/19/2025,NEPAL,NR,NEPAL IMPORT (FROM UP),-58,0,-38,-0.91
4/19/2025,NEPAL,NR,132kV MAHENDRANAGAR-TANAKPUR(NHPC),-58,0,-32,-0.76
4/19/2025,NEPAL,ER,NEPAL IMPORT (FROM BIHAR),187.6,0,109.75,2.634
4/19/2025,NEPAL,ER,400kV DHALKEBAR-MUZAFFARPUR 1&2,-358,0,-191.667,-4.6
4/19/2025,NEPAL,India,Total,,,,-3.636
4/19/2025,BANGLADESH,ER,BHERAMARA B/B HVDC (B'DESH),-936,-885,-926.33,-22.232
4/19/2025,BANGLADESH,"ER
(Isolated from Indian Grid)",400kV GODDA_TPS-RAHANPUR (B'DESH) D/C,-1384.07,-810.59,-990.375,-23.769
4/19/2025,BANGLADESH,NER,132kV COMILLA-SURAJMANI NAGAR 1&2,-92,0,-73.33333334,-1.76
4/19/2025,BANGLADESH,India,Total,,,,-47.761
