Date,"Region
",States,Maximum Demand (MW),Shortage (MW),Energy Met (MU),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU)
4/19/2025,NR,Punjab,8652,0,169.49,78.46,-2.6,641,0
4/19/2025,NR,Haryana,9557,0,183.33,130.89,-1.43,753,0
4/19/2025,NR,Rajasthan,14061,0,312.95,93.3,-3.56,379,0
4/19/2025,NR,Delhi,5355,0,111.26,101.96,-2.82,208,0
4/19/2025,NR,UP,23999,0,420.99,141.18,-4.09,378,0
4/19/2025,NR,Uttarakhand,2289,0,41.71,26.82,0.26,278,0.54
4/19/2025,NR,HP,1578,0,32.85,10.22,-0.64,191,0
4/19/2025,NR,J&K(UT) & Ladakh(UT),2557,0,45.87,31.04,-1.98,285,0
4/19/2025,NR,Chandigarh,263,0,5.33,4.97,0.36,61,0
4/19/2025,NR,Railways_NR ISTS,209,0,4.36,3.88,0.48,53,0
4/19/2025,WR,Chhattisgarh,6262,172,143.5,83.7,1.7,626,0.19
4/19/2025,WR,Gujarat,23977,0,498.9,176.3,-2,996,0
4/19/2025,WR,MP,14007,0,310.3,174.3,-3.2,507,0
4/19/2025,WR,Maharashtra,29483,948,670.8,244.2,3.1,1048,0.95
4/19/2025,WR,Goa,782,0,17.3,16.9,-0.1,42,0
4/19/2025,WR,DNHDDPDCL,1354,0,31,30.9,0.1,75,0
4/19/2025,WR,AMNSIL,787,0,17.7,8.7,0.2,300,0
4/19/2025,WR,BALCO,534,0,12.7,12.7,0,32,0
4/19/2025,WR,RIL JAMNAGAR,173,0,3,3,0,0,0
4/19/2025,SR,Andhra Pradesh,11929,0,236.36,72.66,4.01,846,0
4/19/2025,SR,Telangana,11354,0,228.04,115.06,-2.22,593,0
4/19/2025,SR,Karnataka,14469,0,282.82,98.97,-0.98,929,0
4/19/2025,SR,Kerala,4972,0,96.26,76.49,0.2,495,0
4/19/2025,SR,Tamil Nadu,18449,0,401.36,236.16,0.15,726,0
4/19/2025,SR,Puducherry,532,0,11.19,11.21,-0.08,54,0
4/19/2025,ER,Bihar,6485,0,120.42,110.22,-0.85,222.7,0.07568
4/19/2025,ER,DVC,3286,0,72.39,-35.75,0.08,347.53,0
4/19/2025,ER,Jharkhand,2066,0,42.16,30.84,0.51,164.95,0
4/19/2025,ER,Odisha,5909,0,115.36,29.26,-1.08,571.85,0
4/19/2025,ER,West Bengal,9758,0,196.25,74.48,-1.78,265.58,0
4/19/2025,ER,Sikkim,83,0,1.3,1.4,-0.1,31.06,0
4/19/2025,ER,Railways_ER ISTS,21,0,0.14,0.1,0.04,9,0
4/19/2025,NER,Arunachal Pradesh,178,0,2.99,2.93,-0.09,25,0
4/19/2025,NER,Assam,1963,0,37.81,29.65,0.73,154,0
4/19/2025,NER,Manipur,205,0,2.9,2.86,0.04,29,0
4/19/2025,NER,Meghalaya,326,0,5.76,3.9,-0.11,91,0
4/19/2025,NER,Mizoram,127,0,1.76,1.8,-0.26,9,0
4/19/2025,NER,Nagaland,165,0,2.67,2.71,-0.04,24,0
4/19/2025,NER,Tripura,277,0,4.72,4.46,0.3,59,0
