DateID,ActualDate,DayOfWeek,DayOfMonth,Month,Quarter,Year
1,2023-04-01,Saturday,1,4,2,2023
2,2023-04-02,Sunday,2,4,2,2023
3,2023-04-03,Monday,3,4,2,2023
4,2023-04-04,Tuesday,4,4,2,2023
5,2023-04-05,Wednesday,5,4,2,2023
6,2023-04-06,Thursday,6,4,2,2023
7,2023-04-07,Friday,7,4,2,2023
8,2023-04-08,Saturday,8,4,2,2023
9,2023-04-09,Sunday,9,4,2,2023
10,2023-04-10,Monday,10,4,2,2023
11,2023-04-11,Tuesday,11,4,2,2023
12,2023-04-12,Wednesday,12,4,2,2023
13,2023-04-13,Thursday,13,4,2,2023
14,2023-04-14,Friday,14,4,2,2023
15,2023-04-15,Saturday,15,4,2,2023
16,2023-04-16,Sunday,16,4,2,2023
17,2023-04-17,Monday,17,4,2,2023
18,2023-04-18,Tuesday,18,4,2,2023
19,2023-04-19,Wednesday,19,4,2,2023
20,2023-04-20,Thursday,20,4,2,2023
21,2023-04-21,Friday,21,4,2,2023
22,2023-04-22,Saturday,22,4,2,2023
23,2023-04-23,Sunday,23,4,2,2023
24,2023-04-24,Monday,24,4,2,2023
25,2023-04-25,Tuesday,25,4,2,2023
26,2023-04-26,Wednesday,26,4,2,2023
27,2023-04-27,Thursday,27,4,2,2023
28,2023-04-28,Friday,28,4,2,2023
29,2023-04-29,Saturday,29,4,2,2023
30,2023-04-30,Sunday,30,4,2,2023
31,2023-05-01,Monday,1,5,2,2023
32,2023-05-02,Tuesday,2,5,2,2023
33,2023-05-03,Wednesday,3,5,2,2023
34,2023-05-04,Thursday,4,5,2,2023
35,2023-05-05,Friday,5,5,2,2023
36,2023-05-06,Saturday,6,5,2,2023
37,2023-05-07,Sunday,7,5,2,2023
38,2023-05-08,Monday,8,5,2,2023
39,2023-05-09,Tuesday,9,5,2,2023
40,2023-05-10,Wednesday,10,5,2,2023
41,2023-05-11,Thursday,11,5,2,2023
42,2023-05-12,Friday,12,5,2,2023
43,2023-05-13,Saturday,13,5,2,2023
44,2023-05-15,Monday,15,5,2,2023
45,2023-05-16,Tuesday,16,5,2,2023
46,2023-05-17,Wednesday,17,5,2,2023
47,2023-05-18,Thursday,18,5,2,2023
48,2023-05-19,Friday,19,5,2,2023
49,2023-05-20,Saturday,20,5,2,2023
50,2023-05-21,Sunday,21,5,2,2023
51,2023-05-22,Monday,22,5,2,2023
52,2023-05-23,Tuesday,23,5,2,2023
53,2023-05-24,Wednesday,24,5,2,2023
54,2023-05-25,Thursday,25,5,2,2023
55,2023-05-26,Friday,26,5,2,2023
56,2023-05-27,Saturday,27,5,2,2023
57,2023-05-28,Sunday,28,5,2,2023
58,2023-05-29,Monday,29,5,2,2023
59,2023-05-30,Tuesday,30,5,2,2023
60,2023-05-31,Wednesday,31,5,2,2023
61,2023-06-01,Thursday,1,6,2,2023
62,2023-06-02,Friday,2,6,2,2023
63,2023-06-03,Saturday,3,6,2,2023
64,2023-06-04,Sunday,4,6,2,2023
65,2023-06-05,Monday,5,6,2,2023
66,2023-06-06,Tuesday,6,6,2,2023
67,2023-06-07,Wednesday,7,6,2,2023
68,2023-06-08,Thursday,8,6,2,2023
69,2023-06-09,Friday,9,6,2,2023
70,2023-06-10,Saturday,10,6,2,2023
71,2023-06-11,Sunday,11,6,2,2023
72,2023-06-12,Monday,12,6,2,2023
73,2023-06-13,Tuesday,13,6,2,2023
74,2023-06-14,Wednesday,14,6,2,2023
