LineID,LineIdentifier,VoltageLevel_kV,NumberOfCircuits,CountryID
1,ALIPURDUAR-AGRA,HVDC,2.0,
2,PUSAULI  B/B,HVDC,,
3,GAYA-VARANASI,765 kV,2.0,
4,SASARAM-FATEHPUR,765 kV,1.0,
5,GAYA-BALIA,765 kV,1.0,
6,PUSAULI-VARANASI,400 kV,1.0,
7,PUSAULI -ALLAHABAD,400 kV,1.0,
8,MUZAFFARPUR-GORAKHPUR,400 kV,2.0,
9,PATNA-BALIA,400 kV,2.0,
10,NAUBATPUR-BALIA,400 kV,2.0,
11,BIHARSHARIFF-BALIA,400 kV,2.0,
12,MOTIHARI-GORAKHPUR,400 kV,2.0,
13,BIHARSARIFF-SAHUPURI,400 kV,2.0,
14,SAHUPURI-KARAMNASA,220 kV,1.0,
15,NAGAR UNTARI-RIHAND,132 kV,1.0,
16,GARWAH-RIHAND,132 kV,1.0,
17,KARMANASA-SAHUPURI,132 kV,1.0,
18,KARMANASA-CHANDAULI,132 kV,1.0,
19,JHARSUGUDA-DHARAMJAIGARH,765 kV,4.0,
20,NEW RANCHI-DHARAMJAIGARH,765 kV,2.0,
21,JHARSUGUDA-DURG,765 kV,2.0,
22,JHARSUGUDA-RAIGARH,400 kV,4.0,
23,RANCHI-SIPAT,400 kV,2.0,
24,BUDHIPADAR-RAIGARH,220 kV,1.0,
25,BUDHIPADAR-KORBA,220 kV,2.0,
26,JEYPORE-GAZUWAKA B/B,HVDC,2.0,
27,TALCHER-KOLAR BIPOLE,HVDC,2.0,
28,ANGUL-SRIKAKULAM,765 kV,2.0,
29,TALCHER-I/C,400 kV,2.0,
30,BALIMELA-UPPER-SILERRU,220 kV,1.0,
31,BINAGURI-BONGAIGAON,400 kV,2.0,
32,ALIPURDUAR-BONGAIGAON,400 kV,2.0,
33,ALIPURDUAR-SALAKATI,220 kV,2.0,
34,BISWANATH CHARIALI-AGRA,HVDC,2.0,
35,CHAMPA-KURUKSHETRA,HVDC,2.0,
36,VINDHYACHAL B/B,HVDC,,
37,MUNDRA-MOHINDERGARH,HVDC,2.0,
38,GWALIOR-AGRA,765 kV,2.0,
39,GWALIOR-PHAGI,765 kV,2.0,
40,JABALPUR-ORAI,765 kV,2.0,
41,GWALIOR-ORAI,765 kV,1.0,
42,SATNA-ORAI,765 kV,1.0,
43,BANASKANTHA-CHITORGARH,765 kV,2.0,
44,VINDHYACHAL-VARANASI,765 kV,2.0,
45,ZERDA-KANKROLI,400 kV,1.0,
46,ZERDA -BHINMAL,400 kV,1.0,
47,VINDHYACHAL -RIHAND,400 kV,1.0,
48,RAPP-SHUJALPUR,400 kV,2.0,
49,NEEMUCH-Chittorgarh,400 kV,2.0,
50,BHANPURA-RANPUR,220 kV,1.0,
51,BHANPURA-MORAK,220 kV,1.0,
52,MEHGAON-AURAIYA,220 kV,1.0,
53,MALANPUR-AURAIYA,220 kV,1.0,
54,GWALIOR-SAWAI MADHOPUR,132 kV,1.0,
55,RAJGHAT-LALITPUR,132 kV,2.0,
56,BHADRAWATI B/B,HVDC,,
57,RAIGARH-PUGALUR,HVDC,2.0,
58,SOLAPUR-RAICHUR,765 kV,2.0,
59,WARDHA-NIZAMABAD,765 kV,2.0,
60,WARORA-WARANGAL(NEW),765 kV,2.0,
61,KOLHAPUR-KUDGI,400 kV,2.0,
62,KOLHAPUR-CHIKODI,220 kV,2.0,
63,PONDA-AMBEWADI,220 kV,1.0,
64,XELDEM-AMBEWADI,220 kV,1.0,
65,Total,,,
66,"400kV MANGDECHHU-ALIPURDUAR 1,2&3 i.e.ALIPURDUAR RECEIPT (from MANGDECHUHEP 4*180MW)",,,
67,"400kV TALA-BINAGURI 1,2,4 (& 400kVMALBASE  -  BINAGURI) i.e. BINAGURIRECEIPT (from TALA HEP 6*170MW)",,,
68,"220kV CHUKHA-BIRPARA 1&2 (& 220kVMALBASE - BIRPARA) i.e. BIRPARA RECEIPT(from CHUKHA HEP 4*84MW)",,,
69,132kV GELEPHU-SALAKATI,,,
70,132kV MOTANGA-RANGIA,,,
71,132kV MAHENDRANAGAR-TANAKPUR(NHPC),,,
72,NEPAL IMPORT (FROM BIHAR),,,
73,400kV DHALKEBAR-MUZAFFARPUR 1&2,,,
74,BHERAMARA B/B HVDC (B'DESH),,,
75,400kV GODDA_TPS-RAHANPUR (B'DESH) D/C,,,
76,132kV COMILLA-SURAJMANI NAGAR 1&2,,,
77,Line Name,Region,,
78,-1244,400kV GODDA_TPS-RAHANPUR (B'DESH) D/C,,
79,-171,132kV COMILLA-SURAJMANI NAGAR 1&2,,
80,-726,400kV GODDA_TPS-RAHANPUR (B'DESH) D/C,,
81,-79,132kV COMILLA-SURAJMANI NAGAR 1&2,,
82,-63,132kV COMILLA-SURAJMANI NAGAR 1&2,,
83,-77,132kV COMILLA-SURAJMANI NAGAR 1&2,,
84,nan,,,
85,JEYPORE-JAGDALPUR,400 kV,,
86,MOTIHARI-,400 kV,,
87,SAHUPURI-,220 kV,,
88,NEW RANCHI-,765 kV,,
89,JEYPORE-,400 kV,,
90,BINAGURI-,400 kV,,
91,BISWANATH,HVDC,,
92,CHAMPA-,HVDC,,
93,MUNDRA-,HVDC,,
94,WARDHA-,765 kV,,
