DateID,CountryID,TotalEnergyExchanged,PeakExchange
1,1,-3.3,-308.0
1,2,-4.4,-238.3
1,3,-21.0,-1058.0
1,5,-17.2,-774.0
2,1,-2.3,-203.0
2,2,-9.5,-508.5
2,3,-24.6,-1069.0
2,5,-17.9,-775.0
3,1,-0.1,-147.0
3,2,-9.8,-474.0
3,3,-24.5,-1063.0
3,5,-14.4,-696.6
4,1,0.1,-222.1
4,2,-10.6,-465.8
4,3,-24.8,-1075.0
4,5,-15.9,-719.7
5,1,1.1,186.3
5,2,-10.2,-461.2
5,3,-24.4,-1075.0
5,5,-16.6,-818.0
6,1,0.7,51.0
6,2,-11.3,-507.9
6,3,-24.4,-1082.0
6,5,-16.6,-781.0
7,1,-1.2,-339.0
7,2,-10.9,-529.1
7,3,-20.7,-1024.0
7,5,-16.3,-764.4
8,1,-2.2,-360.0
8,2,-11.0,-579.0
8,3,-23.8,-1044.0
8,5,-10.3,-754.5
9,1,-0.6,-324.0
9,2,-12.1,-556.6
9,3,-24.1,-1054.0
9,5,-13.6,-770.2
10,1,0.2,196.4
10,2,-13.3,-719.9
10,3,-24.1,-1065.0
10,5,-17.9,-790.0
11,1,0.5,128.3
11,2,-9.3,-683.6
11,3,-24.8,-1079.0
11,5,-17.9,-744.0
12,1,0.1,-164.5
12,2,-12.8,-673.0
12,3,-24.9,-1088.0
12,5,-17.9,-789.0
13,1,-1.3,-301.0
13,2,-10.0,-736.2
13,3,-24.9,-1081.0
13,5,-18.1,-823.3
14,1,1.7,184.2
14,2,-12.6,-605.0
14,3,-24.8,-1078.0
14,5,-18.0,-821.3
15,1,3.1,312.0
15,2,-12.0,-701.2
15,3,-19.9,-1013.0
15,5,-17.9,-772.0
16,1,1.9,275.0
16,2,-13.7,-815.9
16,3,-21.2,-941.0
16,5,-17.9,-783.0
17,1,2.2,246.0
17,2,-13.3,-752.7
17,3,-24.9,-1102.0
17,5,-18.3,-794.0
18,1,0.9,89.4
18,2,-14.6,-711.5
18,3,-25.3,-1104.0
18,5,-16.8,-787.1
19,1,4.1,326.0
19,2,-11.3,-606.5
19,3,-25.5,-1101.0
19,5,-17.9,-774.8
20,1,5.4,592.1
20,2,-12.6,-823.9
20,3,-24.8,-1090.0
20,5,-18.0,-800.0
21,1,5.5,417.0
21,2,-13.2,-759.6
21,3,-24.2,-1084.0
21,5,-15.9,-759.2
22,1,5.7,363.9
22,2,-12.7,-712.7
22,3,-24.8,-1103.0
22,5,-12.0,-672.0
23,1,3.7,276.0
23,2,-13.9,-718.7
23,3,-25.0,-1093.0
23,5,-11.3,-568.0
24,1,0.6,36.0
24,2,-12.4,-641.4
24,3,-23.3,-1092.0
