DateID,LineID,CountryID,StateID,RegionID,MaxLoading,MinLoading,AvgLoading,EnergyExchanged
1,66,1.0,,4.0,-158.0,95.0,-44.0,-1.05
1,67,1.0,,4.0,206.0,-108.0,37.0,0.89
1,68,1.0,,4.0,-204.0,-83.0,-136.0,-3.27
1,69,1.0,,5.0,15.0,0.0,6.0,0.14
1,70,1.0,,5.0,0.0,0.0,0.0,0.0
1,71,2.0,,1.0,-43.0,0.0,-22.0,-0.54
1,72,2.0,,4.0,-136.0,-45.0,-108.0,-2.59
1,73,2.0,,4.0,-59.0,0.0,-52.0,-1.24
1,74,3.0,,4.0,-934.0,-299.0,-768.0,-18.43
1,75,3.0,,4.0,-774.0,-704.0,-719.0,-17.25
1,76,3.0,,5.0,-124.0,0.0,-107.0,-2.56
2,66,1.0,,4.0,-81.0,25.0,-29.0,-0.7
2,67,1.0,,4.0,185.0,-93.0,79.0,1.9
2,68,1.0,,4.0,-170.0,-73.0,-123.0,-2.94
2,69,1.0,,5.0,-23.0,-4.0,-21.0,-0.5
2,70,1.0,,5.0,0.0,0.0,0.0,0.0
2,71,2.0,,1.0,-67.0,0.0,-48.0,-1.16
2,72,2.0,,4.0,-113.0,-43.0,-72.0,-1.72
2,73,2.0,,4.0,-329.0,-203.0,-276.0,-6.62
2,74,3.0,,4.0,-924.0,-868.0,-903.0,-21.67
2,75,3.0,,4.0,-775.0,-548.0,-747.0,-17.94
2,76,3.0,,5.0,-145.0,0.0,-123.0,-2.96
3,66,1.0,,4.0,-147.0,46.0,-35.0,-0.83
3,67,1.0,,4.0,241.0,-38.0,132.0,3.18
3,68,1.0,,4.0,-162.0,-68.0,-113.0,-2.72
3,69,1.0,,5.0,17.0,4.0,10.0,0.23
3,70,1.0,,5.0,0.0,0.0,0.0,0.0
3,71,2.0,,1.0,-64.0,0.0,-53.0,-1.27
3,72,2.0,,4.0,-92.0,-51.0,-79.0,-1.89
3,73,2.0,,4.0,-318.0,-215.0,-275.0,-6.61
3,74,3.0,,4.0,-910.0,-798.0,-886.0,-21.27
3,75,3.0,,4.0,-697.0,-540.0,-600.0,-14.41
3,76,3.0,,5.0,-153.0,0.0,-133.0,-3.18
4,66,1.0,,4.0,-146.0,43.0,-26.0,-0.62
4,67,1.0,,4.0,183.0,-26.0,119.0,2.85
4,68,1.0,,4.0,-149.0,-61.0,-98.0,-2.35
4,69,1.0,,5.0,17.0,0.0,8.0,0.18
4,70,1.0,,5.0,0.0,0.0,0.0,0.0
4,71,2.0,,1.0,-60.0,0.0,-48.0,-1.15
4,72,2.0,,4.0,-96.0,-79.0,-87.0,-2.08
4,73,2.0,,4.0,-310.0,-173.0,-306.0,-7.34
4,74,3.0,,4.0,-913.0,-770.0,-889.0,-21.34
4,75,3.0,,4.0,-720.0,-475.0,-663.0,-15.92
4,76,3.0,,5.0,-162.0,0.0,-143.0,-3.44
5,66,1.0,,4.0,-73.0,71.0,-34.0,-0.81
5,67,1.0,,4.0,240.0,124.0,171.0,4.09
5,68,1.0,,4.0,-131.0,-34.0,-82.0,-1.97
5,69,1.0,,5.0,-15.0,-1.0,-7.0,-0.18
5,70,1.0,,5.0,0.0,0.0,0.0,0.0
5,71,2.0,,1.0,-67.0,0.0,-51.0,-1.22
5,72,2.0,,4.0,-97.0,-80.0,-89.0,-2.14
5,73,2.0,,4.0,-297.0,-241.0,-286.0,-6.86
5,74,3.0,,4.0,-912.0,-809.0,-880.0,-21.11
5,75,3.0,,4.0,-818.0,0.0,-691.0,-16.59
5,76,3.0,,5.0,-163.0,0.0,-138.0,-3.32
6,66,1.0,,4.0,-93.0,35.0,-28.0,-0.68
6,67,1.0,,4.0,192.0,120.0,150.0,3.61
6,68,1.0,,4.0,-135.0,-43.0,-87.0,-2.09
6,69,1.0,,5.0,-15.0,-1.0,-7.0,-0.16
6,70,1.0,,5.0,0.0,0.0,0.0,0.0
6,71,2.0,,1.0,-66.0,0.0,-53.0,-1.28
6,72,2.0,,4.0,-101.0,-76.0,-87.0,-2.08
6,73,2.0,,4.0,-341.0,-254.0,-330.0,-7.92
6,74,3.0,,4.0,-911.0,-799.0,-880.0,-21.13
6,75,3.0,,4.0,-781.0,0.0,-691.0,-16.58
6,76,3.0,,5.0,-171.0,0.0,-135.0,-3.24
7,66,1.0,,4.0,-152.0,37.0,-28.0,-0.68
7,67,1.0,,4.0,169.0,-91.0,89.0,2.14
7,68,1.0,,4.0,-137.0,-67.0,-104.0,-2.5
7,69,1.0,,5.0,-14.0,0.0,-8.0,-0.18
7,70,1.0,,5.0,0.0,0.0,0.0,0.0
7,71,2.0,,1.0,-75.0,0.0,-58.0,-1.39
7,72,2.0,,4.0,-96.0,-50.0,-76.0,-1.82
7,73,2.0,,4.0,-358.0,-242.0,-320.0,-7.68
7,74,3.0,,4.0,-918.0,0.0,-771.0,-18.51
7,75,3.0,,4.0,-764.0,0.0,-680.0,-16.32
7,76,3.0,,5.0,-106.0,0.0,-91.0,-2.19
8,66,1.0,,4.0,-172.0,61.0,-39.0,-1.18
8,67,1.0,,4.0,204.0,-100.0,66.0,1.16
8,68,1.0,,4.0,-150.0,-81.0,-107.0,-2.57
8,69,1.0,,5.0,-18.0,-3.0,-10.0,-0.25
8,70,1.0,,5.0,0.0,0.0,0.0,0.0
8,71,2.0,,1.0,-71.0,0.0,-54.0,-1.3
8,72,2.0,,4.0,-87.0,-65.0,-77.0,-1.84
8,73,2.0,,4.0,-421.0,-176.0,-326.0,-7.83
8,74,3.0,,4.0,-919.0,-816.0,-894.0,-21.46
8,75,3.0,,4.0,-755.0,82.0,-429.0,-10.3
8,76,3.0,,5.0,-125.0,0.0,-98.0,-2.36
9,66,1.0,,4.0,-166.0,49.0,-36.0,-0.87
9,67,1.0,,4.0,189.0,-87.0,103.0,2.47
9,68,1.0,,4.0,-158.0,-61.0,-104.0,-2.49
9,69,1.0,,5.0,22.0,7.0,14.0,0.33
9,70,1.0,,5.0,0.0,0.0,0.0,0.0
9,71,2.0,,1.0,-73.0,0.0,-59.0,-1.42
9,72,2.0,,4.0,-98.0,-75.0,-85.0,-2.04
9,73,2.0,,4.0,-386.0,-231.0,-358.0,-8.6
9,74,3.0,,4.0,-926.0,-822.0,-897.0,-21.52
9,75,3.0,,4.0,-770.0,39.0,-567.0,-13.61
9,76,3.0,,5.0,-128.0,0.0,-109.0,-2.62
10,66,1.0,,4.0,-168.0,112.0,-19.0,-0.57
10,67,1.0,,4.0,199.0,-61.0,109.0,2.55
10,68,1.0,,4.0,-142.0,-56.0,-86.0,-2.06
10,69,1.0,,5.0,23.0,-2.0,11.0,0.26
10,70,1.0,,5.0,0.0,0.0,0.0,0.0
10,71,2.0,,1.0,-76.0,0.0,-66.0,-1.59
10,72,2.0,,4.0,-137.0,-86.0,-99.0,-2.37
10,73,2.0,,4.0,-507.0,-143.0,-388.0,-9.32
10,74,3.0,,4.0,-937.0,-832.0,-900.0,-21.61
10,75,3.0,,4.0,-790.0,-743.0,-747.0,-17.93
10,76,3.0,,5.0,-128.0,0.0,-105.0,-2.53
11,66,1.0,,4.0,-159.0,32.0,-34.0,-0.81
11,67,1.0,,4.0,192.0,-12.0,135.0,3.25
11,68,1.0,,4.0,-111.0,-61.0,-89.0,-2.15
11,69,1.0,,5.0,17.0,2.0,9.0,0.21
11,70,1.0,,5.0,0.0,0.0,0.0,0.0
11,71,2.0,,1.0,-78.0,0.0,-63.0,-1.52
11,72,2.0,,4.0,-138.0,-78.0,-104.0,-2.5
11,73,2.0,,4.0,-468.0,-201.0,-222.0,-5.32
11,74,3.0,,4.0,-941.0,-841.0,-911.0,-21.87
11,75,3.0,,4.0,-744.0,-741.0,-744.0,-17.85
11,76,3.0,,5.0,-138.0,0.0,-122.0,-2.92
12,66,1.0,,4.0,-78.0,38.0,-29.0,-0.7
12,67,1.0,,4.0,195.0,-80.0,112.0,2.69
12,68,1.0,,4.0,-126.0,-41.0,-86.0,-2.07
12,69,1.0,,5.0,17.0,1.0,8.0,0.19
12,70,1.0,,5.0,0.0,0.0,0.0,0.0
12,71,2.0,,1.0,0.0,0.0,0.0,-1.52
12,72,2.0,,4.0,-154.0,-60.0,-86.0,-2.06
12,73,2.0,,4.0,-443.0,-150.0,-383.0,-9.19
12,74,3.0,,4.0,-942.0,-845.0,-912.0,-21.89
12,75,3.0,,4.0,-789.0,-710.0,-745.0,-17.88
12,76,3.0,,5.0,-146.0,0.0,-125.0,-2.99
13,66,1.0,,4.0,-137.0,78.0,-5.0,-0.11
13,67,1.0,,4.0,130.0,-115.0,53.0,1.28
13,68,1.0,,4.0,-144.0,-42.0,-96.0,-2.32
13,69,1.0,,5.0,-12.0,-5.0,-6.0,-0.14
13,70,1.0,,5.0,0.0,0.0,0.0,0.0
13,71,2.0,,1.0,-78.0,0.0,-66.0,-1.58
13,72,2.0,,4.0,-160.0,-69.0,-110.0,-2.64
13,73,2.0,,4.0,-498.0,0.0,-242.0,-5.81
13,74,3.0,,4.0,-939.0,-869.0,-911.0,-21.87
13,75,3.0,,4.0,-823.0,-735.0,-753.0,-18.08
13,76,3.0,,5.0,-142.0,0.0,-125.0,-3.0
14,66,1.0,,4.0,80.0,-41.0,10.0,0.24
14,67,1.0,,4.0,176.0,97.0,134.0,3.21
14,68,1.0,,4.0,-112.0,-46.0,-77.0,-1.86
14,69,1.0,,5.0,-17.0,-1.0,-6.0,-0.15
14,70,1.0,,5.0,35.0,0.0,9.0,0.23
14,71,2.0,,1.0,0.0,0.0,0.0,-1.47
14,72,2.0,,4.0,-106.0,-54.0,-82.0,-1.96
14,73,2.0,,4.0,-427.0,-255.0,-381.0,-9.15
14,74,3.0,,4.0,-942.0,-848.0,-913.0,-21.91
14,75,3.0,,4.0,-821.0,-745.0,-749.0,-17.99
14,76,3.0,,5.0,-136.0,0.0,-120.0,-2.88
15,66,1.0,,4.0,126.0,-67.0,35.0,0.84
15,67,1.0,,4.0,202.0,104.0,145.0,3.47
15,68,1.0,,4.0,-129.0,-23.0,-75.0,-1.8
15,69,1.0,,5.0,-13.0,0.0,-6.0,-0.15
15,70,1.0,,5.0,44.0,26.0,33.0,0.78
15,71,2.0,,1.0,-76.0,0.0,-59.0,-1.42
15,72,2.0,,4.0,-93.0,-64.0,-78.0,-1.87
