DateID,StateID,MaximumDemand,Shortage,EnergyMet,DrawalSchedule,OverUnderDrawal,MaxOverDrawal,EnergyShortage
1,1,5839.0,0.0,116.9,39.6,-0.8,222.0,1.18
1,2,5124.0,0.0,108.3,73.4,-1.8,132.0,0.0
1,3,9671.0,0.0,198.1,46.9,-4.0,108.0,0.0
1,4,3411.0,0.0,66.3,65.2,-1.4,114.0,0.0
1,5,16325.0,0.0,273.9,84.2,-0.4,446.0,0.0
1,6,1772.0,0.0,35.5,22.9,-0.3,172.0,0.15
1,7,1731.0,0.0,31.5,20.3,-0.4,57.0,0.0
1,8,2764.0,0.0,55.0,47.9,-0.9,221.0,0.4
1,9,180.0,0.0,3.2,3.4,-0.2,22.0,0.0
1,10,158.0,0.0,3.3,3.2,0.0,13.0,0.0
1,11,4568.0,0.0,101.0,48.8,-2.2,94.0,0.0
1,12,17682.0,0.0,389.2,190.0,-1.6,668.0,0.0
1,13,10404.0,0.0,219.8,125.8,-1.6,472.0,0.0
1,14,25532.0,0.0,545.3,189.7,-0.7,679.0,0.0
1,15,655.0,0.0,14.2,13.2,0.4,50.0,0.0
1,16,1132.0,0.0,26.2,26.9,-0.7,18.0,0.0
1,17,805.0,0.0,18.2,5.8,0.3,258.0,0.0
1,18,512.0,0.0,12.2,12.4,-0.2,1.0,0.0
1,20,10979.0,0.0,220.4,77.3,-0.3,383.0,0.0
1,21,14150.0,0.0,287.7,155.5,0.5,617.0,0.0
1,22,15185.0,0.0,288.9,131.1,-0.5,1162.0,0.0
1,23,4243.0,0.0,89.6,74.8,-0.5,232.0,0.0
1,24,17249.0,0.0,365.5,221.2,-2.3,510.0,0.0
1,25,421.0,0.0,9.1,10.2,-1.2,12.0,0.0
1,26,4794.0,69.0,86.9,75.5,0.2,378.0,0.42
1,27,3195.0,0.0,66.6,-45.0,-0.9,291.0,0.0
1,28,1238.0,0.0,24.8,19.2,-3.0,59.0,0.0
1,29,5152.0,0.0,97.6,38.0,-2.8,270.0,0.0
1,30,6474.0,0.0,133.4,11.0,-3.3,159.0,0.0
1,31,89.0,0.0,1.5,1.7,-0.2,47.0,0.0
1,33,152.0,0.0,2.3,2.2,0.0,49.0,0.0
1,34,1468.0,0.0,26.9,20.9,0.2,141.0,0.0
1,35,191.0,0.0,2.7,2.7,0.0,24.0,0.0
1,36,341.0,23.0,5.6,3.0,1.0,77.0,1.1
1,37,124.0,0.0,1.8,1.7,-0.2,5.0,0.0
1,38,127.0,0.0,1.8,1.9,-0.1,35.0,0.0
1,39,229.0,0.0,3.7,3.2,-0.4,72.0,0.0
2,1,5591.0,0.0,112.9,36.3,-1.3,81.0,0.12
2,2,4878.0,0.0,98.2,69.2,-0.9,148.0,0.0
2,3,10250.0,0.0,200.5,37.1,-9.1,276.0,0.0
2,4,3360.0,0.0,64.0,62.9,-1.2,81.0,0.0
2,5,16242.0,0.0,286.8,95.8,-3.8,492.0,0.0
2,6,1746.0,0.0,33.6,20.8,-0.1,107.0,0.0
2,7,1588.0,0.0,28.3,16.3,0.0,67.0,0.1
2,8,2680.0,0.0,55.5,47.9,-1.3,110.0,1.01
2,9,161.0,0.0,2.9,3.0,-0.1,15.0,0.0
2,10,155.0,0.0,3.2,3.3,0.0,33.0,0.0
2,11,4862.0,0.0,111.3,57.7,-1.3,245.0,0.0
2,12,16934.0,0.0,379.6,180.4,-0.8,618.0,0.0
2,13,10825.0,0.0,226.1,133.1,-3.1,417.0,0.0
2,14,25611.0,0.0,540.7,184.9,0.7,919.0,0.0
2,15,607.0,0.0,11.4,11.8,-0.9,35.0,0.49
2,16,1111.0,0.0,25.9,26.2,-0.3,26.0,0.0
2,17,854.0,0.0,18.4,5.7,0.6,251.0,0.0
2,18,514.0,0.0,12.3,12.4,-0.1,4.0,0.0
2,20,10824.0,0.0,211.5,76.6,-1.4,382.0,0.0
2,21,13590.0,0.0,279.1,147.2,2.2,670.0,0.0
2,22,14268.0,0.0,271.0,124.6,-3.0,865.0,0.0
2,23,4111.0,0.0,82.6,68.7,-0.2,149.0,0.0
2,24,14905.0,0.0,333.9,199.8,-0.9,797.0,0.0
2,25,393.0,0.0,9.2,9.3,-0.7,17.0,0.0
2,26,4906.0,0.0,93.2,85.1,-3.1,306.0,0.15
2,27,3370.0,0.0,70.8,-42.2,-0.2,426.0,0.0
2,28,1308.0,0.0,28.8,21.2,-0.9,102.0,0.3
