DateID,CountryID,MechanismID,ExchangeDirection,ExchangeValue
96,1,1,Export,0.0
96,1,2,Export,0.0
96,1,3,Export,0.0
96,1,4,Export,0.0
96,1,5,Export,0.0
96,1,6,Export,0.0
96,1,7,Export,0.0
96,1,8,Export,0.0
96,2,1,Export,0.14
96,2,2,Export,0.0
96,2,3,Export,0.0
96,2,4,Export,0.0
96,2,5,Export,0.0
96,2,6,Export,0.0
96,2,7,Export,0.0
96,2,8,Export,0.0
96,3,1,Export,22.16
96,3,2,Export,0.0
96,3,3,Export,0.0
96,3,4,Export,0.0
96,3,5,Export,0.0
96,3,6,Export,0.0
96,3,7,Export,0.0
96,3,8,Export,0.0
96,4,1,Export,0.0
96,4,2,Export,0.0
96,4,3,Export,0.0
96,4,4,Export,0.0
96,4,5,Export,0.0
96,4,6,Export,0.0
96,4,7,Export,0.0
96,4,8,Export,0.0
96,6,1,Export,22.3
96,6,2,Export,0.0
96,6,3,Export,0.0
96,6,4,Export,0.0
96,6,5,Export,0.0
96,6,6,Export,0.0
96,6,7,Export,0.0
96,6,8,Export,0.0
96,1,1,Import,39.6
96,1,2,Import,2.59
96,1,3,Import,0.0
96,1,4,Import,0.0
96,1,5,Import,0.0
96,1,6,Import,0.0
96,1,7,Import,0.0
96,1,8,Import,0.0
96,2,1,Import,0.0
96,2,2,Import,0.0
96,2,3,Import,8.73
96,2,4,Import,0.0
96,2,5,Import,0.0
96,2,6,Import,0.0
96,2,7,Import,0.0
96,2,8,Import,0.0
96,3,1,Import,0.0
96,3,2,Import,0.0
96,3,3,Import,0.0
96,3,4,Import,0.0
96,3,5,Import,0.0
96,3,6,Import,0.0
96,3,7,Import,0.0
96,3,8,Import,0.0
96,4,1,Import,0.0
96,4,2,Import,0.0
96,4,3,Import,0.0
96,4,4,Import,0.0
96,4,5,Import,0.0
96,4,6,Import,0.0
96,4,7,Import,0.0
96,4,8,Import,0.0
96,7,1,Import,39.6
96,7,2,Import,2.59
96,7,3,Import,8.73
96,7,4,Import,0.0
96,7,5,Import,0.0
96,7,6,Import,0.0
96,7,7,Import,0.0
96,7,8,Import,0.0
96,1,1,NET,39.6
96,1,2,NET,2.59
96,1,3,NET,0.0
96,1,4,NET,0.0
96,1,5,NET,0.0
96,1,6,NET,0.0
96,1,7,NET,0.0
96,1,8,NET,0.0
96,2,1,NET,-0.14
96,2,2,NET,0.0
96,2,3,NET,8.73
96,2,4,NET,0.0
96,2,5,NET,0.0
96,2,6,NET,0.0
96,2,7,NET,0.0
96,2,8,NET,0.0
96,3,1,NET,-22.16
96,3,2,NET,0.0
96,3,3,NET,0.0
96,3,4,NET,0.0
96,3,5,NET,0.0
96,3,6,NET,0.0
96,3,7,NET,0.0
96,3,8,NET,0.0
96,4,1,NET,0.0
96,4,2,NET,0.0
96,4,3,NET,0.0
96,4,4,NET,0.0
96,4,5,NET,0.0
96,4,6,NET,0.0
96,4,7,NET,0.0
96,4,8,NET,0.0
96,8,1,NET,17.3
96,8,2,NET,2.59
96,8,3,NET,8.73
96,8,4,NET,0.0
96,8,5,NET,0.0
96,8,6,NET,0.0
96,8,7,NET,0.0
96,8,8,NET,0.0
98,1,1,Export,0.0
98,1,2,Export,0.0
98,1,3,Export,0.0
98,1,4,Export,0.0
98,1,5,Export,0.0
98,1,6,Export,0.0
98,1,7,Export,0.0
98,1,8,Export,0.0
98,2,1,Export,0.0
98,2,2,Export,0.0
98,2,3,Export,0.21
98,2,4,Export,0.0
98,2,5,Export,0.0
98,2,6,Export,0.0
98,2,7,Export,0.0
98,2,8,Export,0.0
98,3,1,Export,22.38
98,3,2,Export,0.0
98,3,3,Export,0.0
98,3,4,Export,0.0
98,3,5,Export,0.0
98,3,6,Export,0.0
98,3,7,Export,0.0
98,3,8,Export,0.0
98,4,1,Export,0.0
98,4,2,Export,0.0
98,4,3,Export,0.0
98,4,4,Export,0.0
98,4,5,Export,0.0
98,4,6,Export,0.0
98,4,7,Export,0.0
98,4,8,Export,0.0
98,6,1,Export,22.38
98,6,2,Export,0.0
98,6,3,Export,0.21
98,6,4,Export,0.0
98,6,5,Export,0.0
98,6,6,Export,0.0
98,6,7,Export,0.0
98,6,8,Export,0.0
98,1,1,Import,40.83
98,1,2,Import,2.47
98,1,3,Import,0.0
98,1,4,Import,0.0
98,1,5,Import,0.0
98,1,6,Import,0.0
98,1,7,Import,0.0
98,1,8,Import,0.0
98,2,1,Import,0.0
98,2,2,Import,0.0
98,2,3,Import,8.9
98,2,4,Import,0.0
98,2,5,Import,0.0
98,2,6,Import,0.0
98,2,7,Import,0.0
98,2,8,Import,0.0
98,3,1,Import,0.0
98,3,2,Import,0.0
98,3,3,Import,0.0
98,3,4,Import,0.0
98,3,5,Import,0.0
98,3,6,Import,0.0
98,3,7,Import,0.0
98,3,8,Import,0.0
98,4,1,Import,0.0
98,4,2,Import,0.0
98,4,3,Import,0.0
98,4,4,Import,0.0
98,4,5,Import,0.0
98,4,6,Import,0.0
98,4,7,Import,0.0
98,4,8,Import,0.0
98,7,1,Import,40.83
98,7,2,Import,2.47
98,7,3,Import,8.9
98,7,4,Import,0.0
98,7,5,Import,0.0
98,7,6,Import,0.0
98,7,7,Import,0.0
98,7,8,Import,0.0
98,1,1,NET,40.83
98,1,2,NET,2.47
98,1,3,NET,0.0
98,1,4,NET,0.0
98,1,5,NET,0.0
98,1,6,NET,0.0
98,1,7,NET,0.0
98,1,8,NET,0.0
98,2,1,NET,0.0
98,2,2,NET,0.0
98,2,3,NET,8.69
98,2,4,NET,0.0
98,2,5,NET,0.0
98,2,6,NET,0.0
98,2,7,NET,0.0
98,2,8,NET,0.0
98,3,1,NET,-22.38
98,3,2,NET,0.0
98,3,3,NET,0.0
98,3,4,NET,0.0
98,3,5,NET,0.0
98,3,6,NET,0.0
98,3,7,NET,0.0
98,3,8,NET,0.0
98,4,1,NET,0.0
98,4,2,NET,0.0
98,4,3,NET,0.0
98,4,4,NET,0.0
98,4,5,NET,0.0
98,4,6,NET,0.0
98,4,7,NET,0.0
98,4,8,NET,0.0
98,8,1,NET,18.45
98,8,2,NET,2.47
98,8,3,NET,8.69
98,8,4,NET,0.0
98,8,5,NET,0.0
98,8,6,NET,0.0
98,8,7,NET,0.0
98,8,8,NET,0.0
99,1,1,Export,0.0
99,1,2,Export,0.0
99,1,3,Export,0.0
99,1,4,Export,0.0
99,1,5,Export,0.0
99,1,6,Export,0.0
99,1,7,Export,0.0
99,1,8,Export,0.0
99,2,1,Export,0.14
99,2,2,Export,0.0
99,2,3,Export,0.21
99,2,4,Export,0.0
99,2,5,Export,0.0
99,2,6,Export,0.0
99,2,7,Export,0.0
99,2,8,Export,0.0
99,3,1,Export,22.21
99,3,2,Export,0.0
99,3,3,Export,0.0
99,3,4,Export,0.0
99,3,5,Export,0.0
99,3,6,Export,0.0
99,3,7,Export,0.0
99,3,8,Export,0.0
99,4,1,Export,0.0
99,4,2,Export,0.0
99,4,3,Export,0.0
99,4,4,Export,0.0
99,4,5,Export,0.0
99,4,6,Export,0.0
99,4,7,Export,0.0
99,4,8,Export,0.0
99,6,1,Export,22.35
