TableColumnUnitID,SchemaName,TableName,ColumnName,UnitID
1,main,FactAllIndiaDailySummary,ShareRESInTotalGeneration,4
2,main,FactAllIndiaDailySummary,EveningPeakDemandMet,1
3,main,FactAllIndiaDailySummary,PeakShortage,1
4,main,FactAllIndiaDailySummary,EnergyMet,2
5,main,FactAllIndiaDailySummary,EnergyShortage,2
6,main,FactAllIndiaDailySummary,MaxDemandSCADA,1
7,main,FactAllIndiaDailySummary,ScheduleDrawal,2
8,main,FactAllIndiaDailySummary,ActualDrawal,2
9,main,FactAllIndiaDailySummary,OverUnderDrawal,2
10,main,FactAllIndiaDailySummary,FrequencyViolationIndex,6
11,main,FactAllIndiaDailySummary,DurationFrequencyBelow49_7,4
12,main,FactAllIndiaDailySummary,DurationFrequency_49_7_to_49_8,4
13,main,FactAllIndiaDailySummary,DurationFrequency_49_8_to_49_9,4
14,main,FactAllIndiaDailySummary,DurationFrequencyBelow49_9,4
15,main,FactAllIndiaDailySummary,DurationFrequency_49_9_to_50_05,4
16,main,FactAllIndiaDailySummary,DurationFrequencyAbove50_05,4
17,main,FactAllIndiaDailySummary,RegionDDF,4
18,main,FactAllIndiaDailySummary,StatesDDF,4
19,main,FactAllIndiaDailySummary,SolarHRMaxDemand,1
20,main,FactAllIndiaDailySummary,SolarHRMaxDemandTime,9
21,main,FactAllIndiaDailySummary,SolarHRShortage,1
22,main,FactAllIndiaDailySummary,NonSolarHRMaxDemand,1
23,main,FactAllIndiaDailySummary,NonSolarHRMaxDemandTime,9
24,main,FactAllIndiaDailySummary,NonSolarHRShortage,1
25,main,FactStateDailyEnergy,MaximumDemand,1
26,main,FactStateDailyEnergy,Shortage,1
27,main,FactStateDailyEnergy,EnergyMet,2
28,main,FactStateDailyEnergy,DrawalSchedule,2
29,main,FactStateDailyEnergy,OverUnderDrawal,2
30,main,FactStateDailyEnergy,MaxOverDrawal,1
31,main,FactStateDailyEnergy,EnergyShortage,2
32,main,FactTransmissionLinkFlow,MaxImport,1
33,main,FactTransmissionLinkFlow,MaxExport,1
34,main,FactTransmissionLinkFlow,ImportEnergy,2
35,main,FactTransmissionLinkFlow,ExportEnergy,2
36,main,FactTransmissionLinkFlow,NetImportEnergy,2
37,main,FactTimeBlockPowerData,Frequency,3
38,main,FactTimeBlockPowerData,DemandMet,1
39,main,FactTimeBlockPowerData,NetDemandMet,1
40,main,FactTimeBlockPowerData,TotalGeneration,1
41,main,FactTimeBlockPowerData,NetTransnationalExchange,1
42,main,FactTimeBlockGeneration,GenerationOutput,1
43,main,FactDailyGenerationBreakdown,GenerationAmount,2
44,main,FactCountryDailyExchange,TotalEnergyExchanged,2
45,main,FactCountryDailyExchange,PeakExchange,1
46,main,FactInternationalTransmissionLinkFlow,MaxLoading,1
47,main,FactInternationalTransmissionLinkFlow,MinLoading,1
48,main,FactInternationalTransmissionLinkFlow,AvgLoading,1
49,main,FactInternationalTransmissionLinkFlow,EnergyExchanged,2
50,main,FactTransnationalExchangeDetail,ExchangeValue,2
